Muskel;Region;Subregion;Feld;Urteil;Bei mir;Wikipedia;Delta;Artikel
M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis der Daumengrundphalanx, radiales Sesambein;Basis der Phalanx proximalis des Daumens via radiales Sesambein;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_brevis
M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Beugt den Daumen und hilft bei Gegenüberstellung und Heranführung;Beuger des Daumens;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_brevis
M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. medianus, N. ulnaris;Nervus medianus, medialer Kopf auch vom Nervus ulnaris;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_brevis
M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Segmente;abweichend;C8, Th1;C7, C8;nur bei mir: Th1 | nur Wikipedia: C7;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_brevis
M. flexor pollicis longus;Obere Extremität;Hand & Finger;Ursprung;abweichend;Epicondylus medialis humeri, ventrale Seite des Radius und Membrana interossea;Vorderseite der Speiche, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_longus
M. flexor pollicis longus;Obere Extremität;Hand & Finger;Ansatz;gleich (andere Worte);Basis der Endphalanx des Daumens;Endphalanx des Daumens;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_longus
M. flexor pollicis longus;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Beugt den Daumen; unterstützt die Palmarflexion im Handgelenk";Beuger des Daumens und des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_longus
M. flexor pollicis longus;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. medianus;Nervus medianus aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_longus
M. flexor pollicis longus;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_flexor_pollicis_longus
M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;"Caput mediale: Femur, Facies poplitea, Condylus medialis; Caput laterale: Femur, Facies poplitea, Condylus lateralis";Caput laterale: Femur (Epicondylus lateralis) · Caput mediale: Femur (Epicondylus medialis);;https://de.wikipedia.org/wiki/Musculus_gastrocnemius
M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Ansatz;gleich (andere Worte);Tuber calcanei (über Achillessehne);Calcaneus über die Achillessehne (Tendo calcaneus);;https://de.wikipedia.org/wiki/Musculus_gastrocnemius
M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Beugt das Knie und plantarflektiert den Fuß; unterstützt die Supination; sorgt als zweigelenkiger Muskel für die Kraftentfaltung beim Zehenstand und Abstoßen";im oberen Sprunggelenk: Plantarflexion · im unteren Sprunggelenk: Hebung des inneren Fußrandes (Supination) · im Kniegelenk Flexion;;https://de.wikipedia.org/wiki/Musculus_gastrocnemius
M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Innervation;teils gleich;N. tibialis;Nervus tibialis (Ast des Nervus ischiadicus);;https://de.wikipedia.org/wiki/Musculus_gastrocnemius
M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S1-S2 (L5);;https://de.wikipedia.org/wiki/Musculus_gastrocnemius
M. gemellus inferior;Untere Extremität;Hüfte;Ursprung;gleich (andere Worte);Tuber ischiadicum;Sitzbein (Tuber ischiadicum);;https://de.wikipedia.org/wiki/Musculus_gemellus_inferior
M. gemellus inferior;Untere Extremität;Hüfte;Ansatz;gleich;Fossa trochanterica des Femur;Fossa trochanterica des Femur;;https://de.wikipedia.org/wiki/Musculus_gemellus_inferior
M. gemellus inferior;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation des Oberschenkels;;https://de.wikipedia.org/wiki/Musculus_gemellus_inferior
M. gemellus inferior;Untere Extremität;Hüfte;Innervation;teils gleich;Plexus sacralis;direkte Äste aus dem Plexus sacralis;;https://de.wikipedia.org/wiki/Musculus_gemellus_inferior
M. gemellus inferior;Untere Extremität;Hüfte;Segmente;abweichend;L5, S1;L4-S1;nur Wikipedia: L4;https://de.wikipedia.org/wiki/Musculus_gemellus_inferior
M. gemellus superior;Untere Extremität;Hüfte;Ursprung;gleich;Spina ischiadica;Spina ischiadica;;https://de.wikipedia.org/wiki/Musculus_gemellus_superior
M. gemellus superior;Untere Extremität;Hüfte;Ansatz;gleich (andere Worte);Fossa trochanterica des Femur;Femur (Fossa trochanterica);;https://de.wikipedia.org/wiki/Musculus_gemellus_superior
M. gemellus superior;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;Unterstützt die Außenrotation im Hüftgelenk;Auswärtsdrehung des Oberschenkels;;https://de.wikipedia.org/wiki/Musculus_gemellus_superior
M. gemellus superior;Untere Extremität;Hüfte;Innervation;gleich;Plexus sacralis;Plexus sacralis;;https://de.wikipedia.org/wiki/Musculus_gemellus_superior
M. gemellus superior;Untere Extremität;Hüfte;Segmente;abweichend;L5, S1;L4-S1;nur Wikipedia: L4;https://de.wikipedia.org/wiki/Musculus_gemellus_superior
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Ursprung;teils gleich;Spina mentalis (Innenseite des Corpus mandibulae);Spina mentalis des Unterkiefers;;https://de.wikipedia.org/wiki/Musculus_geniohyoideus
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Ansatz;teils gleich;Corpus ossis hyoidei;Zungenbein (Os hyoideum);;https://de.wikipedia.org/wiki/Musculus_geniohyoideus
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Funktion;Freitext — nur lesen;"Der M. geniohyoideus zieht das Zungenbein kräftig nach ventral und kranial; damit hebt er den Kehlkopf beim Schlucken an und verkürzt den Abstand zwischen Kinn und Zungenbein. Bei festem Zungenbein wirkt er als Mundöffner.";Vorziehen des Zungenbeins;;https://de.wikipedia.org/wiki/Musculus_geniohyoideus
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Innervation;teils gleich;N. hypoglossus (XII) mit Fasern aus C1;erster Halsnerv via Nervus hypoglossus;;https://de.wikipedia.org/wiki/Musculus_geniohyoideus
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Segmente;gleich;C1;C1;;https://de.wikipedia.org/wiki/Musculus_geniohyoideus
M. gluteus maximus;Untere Extremität;Hüfte;Ursprung;teils gleich;"Tiefer Teil: Ala ossis ilii (Facies glutealis), Lig. sacrotuberale; Oberflächlicher Teil: Fascia thoracolumbalis, Crista iliaca, SIPS, dorsale Fläche des Sacrums, Os coccygis";oberflächlicher Anteil: * Darmbein (Os ilium): Darmbeinkamm (Crista iliaca), hinterer oberer Darmbeinstachel (Spina iliaca posterior superior) * Lendenfaszie (Fascia thoracolumbalis) * Kreuzbein (Os sacrum) * Steißbein (Os coccygis) tiefer Anteil: * Darmbeinschaufel (Ala ossis ilium) hinter der Linea glutea posterior * Kreuzbein-Sitzbein-Band (Ligamentum sacrotuberale) * mittlere Gesäßmuskel-Faszie (Aponeurosis glutea bzw. Fascia m. glutaei medii);;https://de.wikipedia.org/wiki/Musculus_gluteus_maximus
M. gluteus maximus;Untere Extremität;Hüfte;Ansatz;teils gleich;"Tractus iliotibialis; Tuberositas glutealis femoris";Gesäßmuskel-Aufrauung (Tuberositas glutea) und Oberschenkel-Faszienstreifen (Tractus iliotibialis), Linea aspera femoris via Septum intermusculare laterale;;https://de.wikipedia.org/wiki/Musculus_gluteus_maximus
M. gluteus maximus;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Hauptextensor des Hüftgelenks; dreht den Oberschenkel nach außen; die lateralen Anteile wirken zusätzlich als Abduktoren und spannen den Tractus iliotibialis";Streckung (Extension), Auswärtsdrehung (Außenrotation), Abspreizen (Abduktion) (kraniale Fasern) und Heranführen (Adduktion) (kaudale Fasern) im Hüftgelenk Verhindern des Abkippen des Rumpfes nach vorne;;https://de.wikipedia.org/wiki/Musculus_gluteus_maximus
M. gluteus maximus;Untere Extremität;Hüfte;Innervation;gleich;N. gluteus inferior;Nervus gluteus inferior;;https://de.wikipedia.org/wiki/Musculus_gluteus_maximus
M. gluteus maximus;Untere Extremität;Hüfte;Segmente;gleich;L5, S1, S2;L5-S2;;https://de.wikipedia.org/wiki/Musculus_gluteus_maximus
M. gluteus medius;Untere Extremität;Hüfte;Ursprung;abweichend;Ala ossis ilii, Facies glutealis;Außenfläche (Facies glut(a)ea) des Darmbeines (Os ilium), Darmbeinkamm (Labium externum der Crista iliaca) und seine Faszie (Aponeurosis glut(a)ea);;https://de.wikipedia.org/wiki/Musculus_gluteus_medius
M. gluteus medius;Untere Extremität;Hüfte;Ansatz;teils gleich;Trochanter major (lateral);großer Rollhügel (Trochanter major) · des Oberschenkelknochens (Femur);;https://de.wikipedia.org/wiki/Musculus_gluteus_medius
M. gluteus medius;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Führt das Bein seitwärts (Abduktion); vordere Fasern rotieren nach innen und beugen, hintere Fasern rotieren nach außen und strecken; essentiell für die Beckenstabilisierung im Einbeinstand";Mensch: * Zentrierung und Stabilisierung des Hüftgelenks * gemeinsam: Abspreizen (Abduktion), verhindert seitliches Abkippen des Beckens * vorderer Anteil: Einwärtsdrehung (Innenrotation) und Beugung (Flexion) * hinterer Anteil: Auswärtsdrehung (Außenrotation) und Streckung (Extension) im Hüftgelenk Tiere: Streckung;;https://de.wikipedia.org/wiki/Musculus_gluteus_medius
M. gluteus medius;Untere Extremität;Hüfte;Innervation;gleich;N. gluteus superior;Nervus gluteus superior;;https://de.wikipedia.org/wiki/Musculus_gluteus_medius
M. gluteus medius;Untere Extremität;Hüfte;Segmente;abweichend;L4, L5, S1;L4-L5;nur bei mir: S1;https://de.wikipedia.org/wiki/Musculus_gluteus_medius
M. gluteus minimus;Untere Extremität;Hüfte;Ursprung;abweichend;Ala ossis ilii, Facies glutealis;Außenfläche (Facies glut(a)ea) des Darmbeines (Os ilium) zwischen Linea glutaea anterior und inferior;;https://de.wikipedia.org/wiki/Musculus_gluteus_minimus
M. gluteus minimus;Untere Extremität;Hüfte;Ansatz;teils gleich;Spitze des Trochanter major;großer Rollhügel (Trochanter major) des Oberschenkelknochens (Femur);;https://de.wikipedia.org/wiki/Musculus_gluteus_minimus
M. gluteus minimus;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Abduziert die Hüfte und unterstützt die Innenrotation (ventrale Fasern) bzw. Außenrotation (dorsale Fasern); Funktion nahezu identisch mit Gluteus medius";Mensch: * Zentrierung und Stabilisierung des Hüftgelenks * Einwärtsdrehung (Innenrotation) und Abspreizbewegung (Abduktion) des Oberschenkels Tiere: * Streckung (Extension) und Abspreizbewegung;;https://de.wikipedia.org/wiki/Musculus_gluteus_minimus
M. gluteus minimus;Untere Extremität;Hüfte;Innervation;gleich;N. gluteus superior;Nervus gluteus superior;;https://de.wikipedia.org/wiki/Musculus_gluteus_minimus
M. gluteus minimus;Untere Extremität;Hüfte;Segmente;abweichend;L4, L5, S1;L4–L5;nur bei mir: S1;https://de.wikipedia.org/wiki/Musculus_gluteus_minimus
M. gracilis;Untere Extremität;Hüfte;Ursprung;gleich (andere Worte);Os pubis, Ramus inferior;Schambein (Ramus inferior ossis pubis);;https://de.wikipedia.org/wiki/Musculus_gracilis
M. gracilis;Untere Extremität;Hüfte;Ansatz;abweichend;Tibia, Facies medialis (Pes anserinus);Schienbein (Pes anserinus superficialis), Fascia cruris;;https://de.wikipedia.org/wiki/Musculus_gracilis
M. gracilis;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Adduziert das Bein im Hüftgelenk; im Kniegelenk wirkt er als Beuger und Innenrotator des Unterschenkels";Mensch: Beugung Hüftgelenk und Knie, Adduktion des Oberschenkels, Einwärtsdrehung des Unterschenkels · Tiere: v. a. Adduktor;;https://de.wikipedia.org/wiki/Musculus_gracilis
M. gracilis;Untere Extremität;Hüfte;Innervation;gleich;N. obturatorius;Nervus obturatorius;;https://de.wikipedia.org/wiki/Musculus_gracilis
M. gracilis;Untere Extremität;Hüfte;Segmente;gleich;L2, L3;L2, L3;;https://de.wikipedia.org/wiki/Musculus_gracilis
M. iliacus;Untere Extremität;Hüfte;Ursprung;gleich (andere Worte);Fossa iliaca des Ileums und Spina iliaca anterior inferior;Fossa iliaca und Spina iliaca anterior inferior des Darmbeines;;https://de.wikipedia.org/wiki/Musculus_iliacus
M. iliacus;Untere Extremität;Hüfte;Ansatz;teils gleich;Trochanter minor des Femur;über Fascia iliaca an Trochanter minor des Oberschenkelknochens;;https://de.wikipedia.org/wiki/Musculus_iliacus
M. iliacus;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Flektiert das Hüftgelenk und rotiert den Oberschenkel nach außen; bei feststehendem Bein kippt er das Ilium nach ventral";"Hüftgelenk: Beugung (Flexion) und Auswärtsdrehung (Außenrotation); Wirbelsäule: Beugung (Inklination) und Seitwärtsneigung (Lateralflexion)";;https://de.wikipedia.org/wiki/Musculus_iliacus
M. iliacus;Untere Extremität;Hüfte;Innervation;gleich (andere Worte);Plexus lumbalis;Plexus lumbalis und Nervus femoralis;;https://de.wikipedia.org/wiki/Musculus_iliacus
M. iliacus;Untere Extremität;Hüfte;Segmente;abweichend;L2, L3;L2–L4;nur Wikipedia: L4;https://de.wikipedia.org/wiki/Musculus_iliacus
M. infraspinatus;Obere Extremität;Schultergürtel;Ursprung;teils gleich;Fossa infraspinata der Scapula;Fossa infraspinata des Schulterblatts;;https://de.wikipedia.org/wiki/Musculus_infraspinatus
M. infraspinatus;Obere Extremität;Schultergürtel;Ansatz;abweichend;Mittlerer Teil des Tuberculum majus, Gelenkkapsel;Tuberculum majus bzw. Facies musculi infraspinati des Humerus;;https://de.wikipedia.org/wiki/Musculus_infraspinatus
M. infraspinatus;Obere Extremität;Schultergürtel;Funktion;Freitext — nur lesen;"Außenrotation; unterstützt die Abduktion bzw. Adduktion je nach Faseranteil";Adduktion, Abduktion und Außenrotation des Arms;;https://de.wikipedia.org/wiki/Musculus_infraspinatus
M. infraspinatus;Obere Extremität;Schultergürtel;Innervation;gleich;N. suprascapularis;Nervus suprascapularis;;https://de.wikipedia.org/wiki/Musculus_infraspinatus
M. infraspinatus;Obere Extremität;Schultergürtel;Segmente;abweichend;C4, C5, C6;C5, C6;nur bei mir: C4;https://de.wikipedia.org/wiki/Musculus_infraspinatus
M. latissimus dorsi;Obere Extremität;Schultergürtel;Ursprung;abweichend;Procc. spinosi Th7–Th12, Fascia thoracolumbalis, Crista iliaca (hinterer Teil), 10.–12. Rippe;Dornfortsätze der untersten 6 Brustwirbel sowie aller Lendenwirbel, Fascia thoracolumbalis, Darmbein (Labium externum der Crista iliaca), unterste 3 oder 4 Rippen, unterer Winkel des Schulterblattes, Rückseite des Os sacrum;;https://de.wikipedia.org/wiki/Musculus_latissimus_dorsi
M. latissimus dorsi;Obere Extremität;Schultergürtel;Ansatz;gleich (andere Worte);Crista tuberculi minoris humeri;Vorderseite des Oberarmknochens (Crista tuberculi minoris humeri);;https://de.wikipedia.org/wiki/Musculus_latissimus_dorsi
M. latissimus dorsi;Obere Extremität;Schultergürtel;Funktion;Freitext — nur lesen;"Extension, Adduktion und Innenrotation im Schultergelenk; zieht den Rumpf bei fixierten Armen heran";Zurückziehen des Arms, Senkung des erhobenen Arms, Adduktion, Innenrotation;;https://de.wikipedia.org/wiki/Musculus_latissimus_dorsi
M. latissimus dorsi;Obere Extremität;Schultergürtel;Innervation;gleich;N. thoracodorsalis;Nervus thoracodorsalis;;https://de.wikipedia.org/wiki/Musculus_latissimus_dorsi
M. latissimus dorsi;Obere Extremität;Schultergürtel;Segmente;gleich;C6, C7, C8;C6-C8;;https://de.wikipedia.org/wiki/Musculus_latissimus_dorsi
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Ursprung;abweichend;"M. puborectalis: Corpus ossis pubis; M. pubococcygeus: Arcus tendineus m. levatoris ani; M. iliococcygeus: Spina ischiadica";Schambein, Fascia obturatoria;;https://de.wikipedia.org/wiki/Musculus_levator_ani
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Ansatz;teils gleich;"Os coccygis; Lig. anococcygeum";Anus, Ligamentum anococcygeum;;https://de.wikipedia.org/wiki/Musculus_levator_ani
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Funktion;Freitext — nur lesen;Der M. levator ani bildet die muskuläre Hauptplatte des Beckenbodens und übernimmt mehrere Aufgaben gleichzeitig: Er trägt die Beckenorgane, sichert Harn- und Stuhlkontinenz und hebt bei Kontraktion den Beckenboden an. Zudem verengt er Harnröhre und Rektum reflektorisch bei intraabdominaler Druckerhöhung.;Anheben der Flexura sacralis des Mastdarms bei Defäkation;;https://de.wikipedia.org/wiki/Musculus_levator_ani
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Innervation;teils gleich;Plexus sacralis, N. pudendus;direkte Fasern aus dem Plexus sacralis;;https://de.wikipedia.org/wiki/Musculus_levator_ani
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Segmente;nur bei mir;S3, S4;;;https://de.wikipedia.org/wiki/Musculus_levator_ani
M. levator scapulae;Obere Extremität;Schultergürtel;Ursprung;teils gleich;Procc. transversi C1–C4 (Tubercula posteriora);Querfortsätze des 1. und 2. Halswirbels, Tubercula posteriora des 3. und 4. Halswirbels;;https://de.wikipedia.org/wiki/Musculus_levator_scapulae
M. levator scapulae;Obere Extremität;Schultergürtel;Ansatz;gleich (andere Worte);Angulus superior und oberer Teil der Margo medialis scapulae;Angulus superior scapulae und Margo medialis scapulae;;https://de.wikipedia.org/wiki/Musculus_levator_scapulae
M. levator scapulae;Obere Extremität;Schultergürtel;Funktion;Freitext — nur lesen;"Elevation und Abwärtsrotation der Scapula; ipsilaterale HWS-Beugung und -Rotation";Hebt Schulterblatt nach oben, schwenkt Angulus inferior nach medial, neigt den Hals bei fixierter Schulter zur Seite. Bei beidseitiger Aktivierung unterstützt er die Extension (Streckung) der Halswirbelsäule.;;https://de.wikipedia.org/wiki/Musculus_levator_scapulae
M. levator scapulae;Obere Extremität;Schultergürtel;Innervation;gleich (andere Worte);Plexus cervicalis, N. dorsalis scapulae;Nervus dorsalis scapulae, Plexus cervicalis;;https://de.wikipedia.org/wiki/Musculus_levator_scapulae
M. levator scapulae;Obere Extremität;Schultergürtel;Segmente;abweichend;C4, C5;C4-C6;nur Wikipedia: C6;https://de.wikipedia.org/wiki/Musculus_levator_scapulae
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Ursprung;teils gleich;Procc. transversi C3–C6 (Tubercula anteriora);(Tubercula anteriora der) Querfortsätze der Halswirbel 3 bis 6;;https://de.wikipedia.org/wiki/Musculus_longus_capitis
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Ansatz;gleich (andere Worte);Pars basilaris ossis occipitalis;(Pars basilaris des) Os occipitale;;https://de.wikipedia.org/wiki/Musculus_longus_capitis
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Funktion;Freitext — nur lesen;Der M. longus capitis beugt den Kopf nach vorn (Inklination) und stabilisiert die obere HWS. Er arbeitet synergistisch mit dem M. longus colli und bildet gemeinsam mit ihm die tiefe zervikale Flexorenschicht.;Einseitig: · Lateralflexion und geringfügige Rotation des Kopfes zur ipsilateralen Seite Beidseitig: · Ventralflexion des Kopfes;;https://de.wikipedia.org/wiki/Musculus_longus_capitis
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Innervation;abweichend;Rr. ventrales der Spinalnerven C1–C3;direkte Äste aus dem Plexus Cervicalis;;https://de.wikipedia.org/wiki/Musculus_longus_capitis
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Segmente;abweichend;C1–C3;C2-C6;nur bei mir: C1 | nur Wikipedia: C4, C5, C6;https://de.wikipedia.org/wiki/Musculus_longus_capitis
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Ursprung;teils gleich;"Pars verticalis: Wirbelkörper C5–Th3; Pars obliqua superior: Procc. transversi C3–C5; Pars obliqua inferior: Wirbelkörper Th1–Th3";Pars obliqua superior: · – (Tubercula anteriora der) · Querfortsätze der Halswirbel 3 bis 5 Pars recta: · – Vorderseiten der Halswirbelkörper 5 bis 7 · – Vorderseiten der Brustwirbelkörper 1 bis 3 Pars obliqua inferior: · – Vorderseiten der Brustwirbelkörper 1 bis 3;;https://de.wikipedia.org/wiki/Musculus_longus_colli
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Ansatz;abweichend;"Tuberculum anterius atlantis (Pars obliqua superior); Wirbelkörper C2–C4 (Pars verticalis); Procc. transversi C5–C6 (Pars obliqua inferior)";Pars obliqua: · – (Tuberculum anterius des) · Atlas Pars recta: · – Vorderseiten der Halswirbel 2 bis 4 Pars obliqua: · – (Tubercula anteriora der) · Querfortsätze der Halswirbel 5 und 6;;https://de.wikipedia.org/wiki/Musculus_longus_colli
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Funktion;Freitext — nur lesen;Der M. longus colli beugt die Halswirbelsäule nach ventral (Nickbewegung) und stabilisiert sie segmental. Er ist der wichtigste tiefe Flexor der HWS und trägt durch seine permanente Aktivität zur zervikalen Haltungsstabilisation bei.;Einseitig: · Lateralflexion und Rotation der Halswirbelsäule zur ipsilateralen Seite Beidseitig: · Ventralflexion der Halswirbelsäule;;https://de.wikipedia.org/wiki/Musculus_longus_colli
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Innervation;abweichend;Rr. ventrales der Spinalnerven C2–C6;Ramus ventralis des ersten Nervus cervicalis;;https://de.wikipedia.org/wiki/Musculus_longus_colli
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Segmente;abweichend;C2–C6;C1;nur bei mir: C2, C3, C4, C5, C6 | nur Wikipedia: C1;https://de.wikipedia.org/wiki/Musculus_longus_colli
M. masseter;Kopf & Hals;Kaumuskulatur;Ursprung;abweichend;Arcus zygomaticus (unterer Rand und Innenfläche);Pars superficialis: · vorderes und mittleres Drittel des Jochbogens Pars profunda: · hinteres Drittel des Jochbogens · bei Tieren auch Crista facialis;;https://de.wikipedia.org/wiki/Musculus_masseter
M. masseter;Kopf & Hals;Kaumuskulatur;Ansatz;teils gleich;Tuberositas masseterica (Außenfläche des Ramus mandibulae);Tuberositas masseterica des Unterkiefers;;https://de.wikipedia.org/wiki/Musculus_masseter
M. masseter;Kopf & Hals;Kaumuskulatur;Funktion;Freitext — nur lesen;Der M. masseter ist der kräftigste Kaumuskel: Er schließt den Mund und hebt den Unterkiefer an. Der oberflächliche Anteil ermöglicht zusätzlich eine Protrusion des Unterkiefers, der tiefe Anteil zieht ihn nach posterior.;Anheben und Seitwärtsbewegung des Unterkiefers;;https://de.wikipedia.org/wiki/Musculus_masseter
M. masseter;Kopf & Hals;Kaumuskulatur;Innervation;teils gleich;N. massetericus (V3, N. trigeminus);Nervus massetericus des Nervus mandibularis;;https://de.wikipedia.org/wiki/Musculus_masseter
M. masseter;Kopf & Hals;Kaumuskulatur;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_masseter
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Ursprung;teils gleich;Linea mylohyoidea (Innenfläche des Corpus mandibulae);Unterkiefer (Linea mylohyoidea);;https://de.wikipedia.org/wiki/Musculus_mylohyoideus
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Ansatz;abweichend;"Corpus ossis hyoidei; Raphe mylohyoidea";Zungenbein (Os hyoideum);;https://de.wikipedia.org/wiki/Musculus_mylohyoideus
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Funktion;Freitext — nur lesen;Der M. mylohyoideus hebt den Mundboden und das Zungenbein an – ein entscheidender Schritt beim Schlucken. Bei festem Zungenbein kann er zudem den Unterkiefer absenken und unterstützt so die Mundöffnung.;Öffnung des Mundes, Anheben des Zungenbeins;;https://de.wikipedia.org/wiki/Musculus_mylohyoideus
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Innervation;teils gleich;N. mylohyoideus (V3, N. trigeminus);Nervus mylohyoideus (Ast des Nervus mandibularis);;https://de.wikipedia.org/wiki/Musculus_mylohyoideus
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_mylohyoideus
M. nasalis;Kopf & Hals;Mimikmuskulatur;Ursprung;abweichend;Seitlich an der Nase (Maxilla, lateral des Nasenrückens);Oberkiefer;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Ansatz;abweichend;Nasenrücken / Nasenknorpelregion;Nasenbein;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Funktion;Freitext — nur lesen;"Pars transversa: Verengt die Nasenöffnung; zieht Nasenrücken nach unten und medial.";Verengung des Nasenknorpels;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Innervation;teils gleich;N. facialis (VII);Nervus facialis (Hirnnerv VII);;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Ursprung;abweichend;An den Nasenflügeln (Ala nasi);Oberkiefer;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Ansatz;abweichend;Nasenflügel (Ala nasi);Nasenbein;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Funktion;Freitext — nur lesen;"Pars alaris: Erweitert die Nasenöffnung durch Aufspreizen der Nasenflügel; aktiv bei forcierter Inspiration.";Verengung des Nasenknorpels;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Innervation;teils gleich;N. facialis (VII);Nervus facialis (Hirnnerv VII);;https://de.wikipedia.org/wiki/Musculus_nasalis
M. nasalis;Kopf & Hals;Mimikmuskulatur;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_nasalis
M. obliquus externus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Ursprung;teils gleich;Außenfläche der 5.–12. Rippe;5. bis 12. Rippe;;https://de.wikipedia.org/wiki/Musculus_obliquus_externus_abdominis
M. obliquus externus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Ansatz;gleich (andere Worte);Crista iliaca, Lig. inguinale, Linea alba, Rektusscheide;Linea alba, Lig. inguinale, Crista iliaca, Tuberculum pubicum;;https://de.wikipedia.org/wiki/Musculus_obliquus_externus_abdominis
M. obliquus externus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Funktion;Freitext — nur lesen;"Beidseitig zieht der M. obliquus externus den Brustkorb nach unten und beugt den Rumpf; einseitig dreht er die Rumpfmittellinie zur Gegenseite und unterstützt die Lateralflexion zur eigenen Seite. Er ist zudem wesentlich an der Erhöhung des intraabdominalen Drucks beteiligt.";Flexion und Rotation des Rumpfes, Exspiration;;https://de.wikipedia.org/wiki/Musculus_obliquus_externus_abdominis
